,query_idx,query_original,fused_ranking
39,396196,injuries due to accident,"{'1538228': 351.19442311928873, '1538231': 296.58785297394684, '1538227': 291.6634609750761, '1538225': 227.98360937083942, '1538223': 189.1510569205414, '867085': 18.75745163190298, '676539': 12.564566004705465, '976907': 8.030327378172629, '867076': 6.081354813962254, '922450': 4.596972521334985, '867081': 2.5543149140336, '6779132': 1.4367522856541677, '369813': 1.335711092258057, '369811': 1.2721667172451625, '976901': 1.1526629720274921, '369816': 0.9101351638632054, '676543': 0.8720053911534886, '6822427': 0.7197809937432547, '867077': 0.6666958324431957, '163907': 0.609421069944657, '3034354': 0.5555852698528303, '369809': 0.3156579316884969, '976908': 0.29939464361774154, '6779126': 0.2799389565490249, '40243': 0.27729624729282853, '867083': 0.21350307534351262, '5729318': 0.20317365978114463, '6779129': 0.19480685258438313, '283486': 0.19350436233795795, '400171': 0.16550807642452886, '4365155': 0.12307474142284587, '922448': 0.08597944189513006, '1198278': 0.0632196154156186, '3232611': 0.06261303633529197, '3034353': 0.05048767608564606, '676537': 0.04997342608265301, '1198283': 0.036295704877732635, '3034359': 0.03393794598167236, '6822420': 0.033855801036248676, '867078': 0.03350799331669454, '676540': 0.03146508361855486, '6822422': 0.030768853812582667, '251893': 0.030502019343244664, '6822419': 0.02450570868415835, '922444': 0.015459595653922995, '6779124': 0.014274710890255858, '676546': 0.012219658954090275, '976905': 0.010883494134657955, '976900': 0.010261798132302212, '1961385': 0.00441837185300769}"
40,570424,what are the health benefits of cherries,"{'1565869': 499.22246961723107, '1565875': 401.3481605358649, '1565872': 350.27102917109033, '1565874': 333.43528255813135, '1565871': 329.8993599903955, '1565868': 247.63524483254744, '1128850': 52.794750023781596, '6036172': 33.46077583476148, '2250888': 31.881538220347444, '6036173': 25.605873067596175, '1128852': 12.287904788614691, '1128856': 11.783939469497495, '3427798': 5.600064372181537, '1128849': 4.856766724922708, '1128851': 4.799864455761918, '4613700': 3.7314733302264727, '3427791': 2.132726154226077, '6036177': 2.129638989351622, '4026381': 1.1125554921493772, '4613702': 0.5840982736041861, '317174': 0.452117270692608, '193606': 0.42519279581346026, '2545917': 0.23207436941796308, '4613697': 0.18240587475341813, '1679435': 0.17158974694087947, '875168': 0.13807245606596616, '875172': 0.12295931159086697, '719994': 0.0946769090932846, '3467970': 0.09068581611627402, '1386350': 0.06976907043262354, '3467975': 0.062233675740535024, '4148208': 0.053291031228161624, '6099131': 0.04845514382156599, '3427797': 0.029166662713518737, '2706980': 0.02136339178356211, '4026383': 0.019241605913151164, '3427796': 0.01678414069629821, '1086506': 0.014586407389364987, '5675558': 0.007172891079608692, '6845904': 0.0, '1031174': 0.0, '317176': 0.0}"
41,517515,the most beautiful buildings in the world,"{'1578307': 3320.088307581604, '1578305': 2035.3752577650985, '1578306': 1386.8159534375284, '1578313': 1383.6174495082853, '1578311': 1323.0220984200907, '1578312': 928.772273237878, '1578304': 315.6741815105289, '55269': 0.8671296805040842, '2442911': 0.3865382541124938, '3730561': 0.24606362123512981, '232429': 0.21564798572080507, '3730567': 0.16350924445778497, '1406120': 0.1576175232233744, '2016864': 0.09376480812513054, '496887': 0.009928293259819008, '961074': 0.005989838546229816, '881360': 0.005504601269452562, '3917811': 0.0013944698774882602, '3796700': 0.0, '4066010': 0.0, '1406122': 0.0, '881364': 0.0, '334574': 0.0}"
42,189566,foods that help with fat loss,"{'1588463': 1222.2330393351326, '1031174': 1192.6041551162161, '1588461': 1176.8995624848883, '1588459': 1125.6455498567968, '507741': 697.936952653074, '5831027': 154.0860579565264, '6323379': 114.58315552275964, '5831022': 99.71274182425859, '5831026': 75.05445934161622, '5831020': 70.34003501092701, '2482601': 52.20420100868841, '875168': 45.686011037423214, '875170': 37.7251524217519, '5831021': 34.564915441059895, '3494284': 29.982084427382006, '2019366': 29.113984931374972, '6323380': 25.569180178550255, '416665': 24.950179342396552, '2019364': 20.25750375381324, '2759420': 17.88246561985492, '338203': 16.740112931130984, '875172': 16.323246569695797, '1227026': 13.459007038847828, '6323377': 12.455338065483302, '6323376': 12.164947139175185, '4148210': 9.650984229442912, '875164': 8.742454885991197, '2482604': 7.548916154542153, '4453150': 7.203601037360741, '2482606': 7.125487076609303, '3494283': 6.3627519703723925, '416659': 6.077063576542124, '4148208': 5.668543542455638, '4148212': 4.910609536031816, '416664': 4.886583173007613, '5831025': 4.867793683508463, '875171': 4.522395290013882, '5712807': 3.719068447892828, '2759422': 3.61449672102993, '2754983': 1.8962826776102804, '1227028': 1.6453337781391861, '2019370': 1.5141383371467294, '2545915': 1.5132364164726488, '1227034': 1.2916429998369594, '416657': 1.2186355392965948, '2545916': 1.1845580537561857, '6099131': 1.1063830566779518, '1679433': 1.0630647710988024, '1639019': 1.0610042291296782, '1639025': 0.72088726442799, '4148207': 0.6354864823934057, '3467970': 0.6237467134390096, '1386350': 0.5956135615449363, '2759421': 0.41809818397154114, '2019365': 0.3843126408965422, '6651782': 0.3386177016330324, '4148213': 0.28553771109274073, '4117267': 0.27487507451567644, '1927528': 0.22560608165429608, '2482608': 0.21592013549017683, '1639026': 0.1776392347287379, '2754977': 0.16115854907917762, '3494288': 0.15321772732637312, '5675560': 0.12328080947730467, '162759': 0.11717769098998784, '6323384': 0.10750482831898593, '3665327': 0.09821531878885134, '5712806': 0.09707800276406503, '1639027': 0.0905930603801425, '6099132': 0.08957355951828652, '5712808': 0.08647744219051962, '4117262': 0.06110027708237106, '4394697': 0.04622094520877938, '4312812': 0.03835208338342837, '1639020': 0.03736358061877452, '2759426': 0.03641982575240967, '719994': 0.009362949156483608, '1227032': 0.008637527713211893, '3427793': 0.0068541314009865585, '4312814': 0.0038671258498993943, '3494287': 0.003125870978511031, '416656': 0.0015886158076504828, '263121': 0.0, '3427791': 0.0, '2754981': 0.0, '263120': 0.0, '4312810': 0.0, '263126': 0.0}"
43,145975,diet plans where all you eat is protein,"{'1639025': 4188.465034762239, '1639027': 3802.3043599063503, '1639026': 3767.380187718201, '1639020': 3559.7428849556622, '1639019': 1872.9354790770587, '2759422': 198.71314687606366, '2759421': 118.17585482280151, '3193114': 106.17051745131673, '2482606': 90.13229464348015, '1227030': 49.26787087893194, '2759419': 39.80076701614522, '875170': 26.79693286648562, '3193111': 26.29051109105504, '1227026': 25.01367864933868, '2759420': 13.64084224256841, '3665327': 11.606708089445082, '3193115': 10.36432883690841, '334574': 10.07557041833542, '7924175': 8.490687485266285, '2754979': 8.364435369164948, '2482609': 6.88551831264043, '3193110': 4.875320540879081, '1588459': 4.1998592629801115, '2482601': 4.135646559008781, '3467971': 3.457447786798422, '2545915': 3.4360041949453364, '7924178': 2.4094485096515497, '4394704': 2.3705341949262726, '786641': 1.5647602872647646, '2759426': 0.9152919994242807, '4394703': 0.7366082995073933, '4148210': 0.6663677384817093, '1227028': 0.6020185019413605, '2629976': 0.5628536234874387, '3193116': 0.5559344497106369, '4394697': 0.5414958910821193, '1588463': 0.35934931672184167, '4148213': 0.2897924278288304, '1227032': 0.2568660125109748, '6323384': 0.2216717870660299, '2629972': 0.15677449141201333, '2482608': 0.10422047282854746, '2482604': 0.0817026809208625, '6323379': 0.06179699875855912, '2044458': 0.001009133048244576, '5831021': 0.0004032668696874998, '3034358': 0.0, '1588461': 0.0, '4950840': 0.0, '2629981': 0.0, '232436': 0.0, '2153177': 0.0}"
44,634135,what does celery contain,"{'1679430': 7.7111700537628245, '1679431': 6.661069942897566, '1386350': 6.4328290899383065, '1679433': 5.707768184054414, '3467969': 5.14605187651021, '1679435': 4.660104715839803, '3467973': 3.9540399008331923, '3467971': 2.3866340943903674, '875172': 2.2592178793857833, '2545915': 1.5279753553677766, '3467970': 1.4356509177463934, '2545916': 1.3555859389436917, '3467975': 1.3219339188701258, '5712812': 1.085808737830179, '6990597': 1.0813904026039167, '875171': 1.065791530419525, '1771392': 1.0, '6990600': 0.9942469270494803, '1565869': 0.6500946477901159, '2706980': 0.6203346084126473, '2706974': 0.4643034803181229, '2019370': 0.415953325218829, '5712806': 0.4114280433579143, '1565871': 0.3472071675538616, '2706979': 0.3429869426435085, '1771388': 0.34217262242525326, '6990601': 0.3382600997024213, '671063': 0.3375290763589212, '6990598': 0.31918079200854, '2545917': 0.30312816352545735, '3316293': 0.30181977836812174, '1771385': 0.29352640833367877, '6827594': 0.286112314910801, '5712808': 0.2780275182567352, '4613700': 0.24474212932571537, '3316291': 0.22306534628484412, '6827589': 0.21947139063065746, '5675558': 0.21574984264024447, '2706978': 0.20927307184640112, '5675561': 0.1983215528045273, '5712813': 0.18955670721666612, '4148208': 0.1841176944626415, '6827597': 0.1727223307026326, '1771383': 0.17206367805656447, '3494284': 0.14957667971517238, '2019366': 0.1483897617261574, '4148207': 0.14252752298645938, '1031174': 0.13802198912500108, '5675564': 0.13342647326353285, '1565874': 0.12385361380039722, '3316295': 0.12252514292701723, '2629975': 0.11330043107179207, '5712807': 0.11165846147377347, '5675560': 0.111153158771084, '2482606': 0.10223228070023563, '4117263': 0.09236586230842082, '4148210': 0.09169258838839531, '1128856': 0.09085047001434428, '3316290': 0.08790152681422096, '1128850': 0.08151806310117617, '1128851': 0.06950504068441064, '1565875': 0.05823522149050292, '1565868': 0.0578541744497662, '2706972': 0.05667491604981604, '2545912': 0.05629514218071553, '2515382': 0.05595041534285741, '5357681': 0.05372471417830967, '4613694': 0.05110955939630111, '5675562': 0.04868494293680629, '3494283': 0.04501334326257766, '5357679': 0.04470936797764867, '4434766': 0.03735214233267012, '875168': 0.03583139895665031, '6651784': 0.03560460226364633, '3494287': 0.031136117549961418, '6099128': 0.02963680216036833, '3665327': 0.026880150840248303, '6036172': 0.02594348316306974, '2019373': 0.0240481392601984, '8238453': 0.01669096914213041, '1128849': 0.01508111733202155, '5831021': 0.014386570617099926, '8238450': 0.011320330606997143, '5357682': 0.008498390413921234, '1128852': 0.007276480829853448, '4117267': 0.006137080955013274, '2482602': 0.0019223323734143941, '4613702': 0.0, '2545918': 0.0, '4434768': 0.0, '2482601': 0.0}"
45,578434,what bare the similarities between the han dynasty and the roman empire,"{'1808638': 9071.982492354238, '1808633': 8614.0, '1808637': 1512.0, '1808631': 2.252252826763514, '1808640': 0.0}"
46,302462,how much army paid in us,"{'1853577': 17.418063873602737, '1853585': 15.877499190457524, '1853579': 14.77965058535143, '1853584': 7.474078787259977, '1853578': 7.411704489124866, '428252': 4.123659830007133, '7945681': 3.4236128026683326, '428250': 2.3117721608377804, '2173889': 1.9285013038911667, '7945686': 1.8360312089834583, '6610802': 1.4545616900830882, '2173893': 1.213302594003307, '6610801': 1.0187429884431802, '3163390': 0.965668424972402, '7945684': 0.9006777936577777, '5264165': 0.8035365348818183, '6610805': 0.7667222853854321, '3163396': 0.727620522045711, '6610796': 0.6737621579567602, '428244': 0.5892785216971415, '5865929': 0.5722377652592859, '3163395': 0.4973214769163265, '3163397': 0.4723543614685646, '428249': 0.45734472323467423, '3163393': 0.4476568915586716, '428246': 0.3804119054033791, '2629975': 0.3400170175218818, '2629974': 0.2856510372073393, '2892099': 0.27823786686391594, '2173887': 0.25978425354627704, '5783176': 0.20864643542471217, '2892101': 0.1970099419735916, '2710844': 0.1904311326969305, '2710845': 0.1640678750218883, '3132749': 0.16240395355630766, '5055631': 0.155386740430629, '7945683': 0.15165415990559628, '3008366': 0.1500037499601736, '2710843': 0.14240633914603296, '2173891': 0.14030818133922582, '3132750': 0.1373490990057564, '102386': 0.13680758049007397, '4562797': 0.12292187696426995, '3132747': 0.10263544191168286, '4703541': 0.09642868324963655, '5151304': 0.08939892838175394, '5783178': 0.08289458188110044, '2629972': 0.07580066853626985, '1880129': 0.06993591700877425, '1143226': 0.06823817764102467, '2629976': 0.05502689631939907, '6779132': 0.051830582149900176, '2710841': 0.04733998426611426, '5383218': 0.038094727655785345, '5055630': 0.036533685712554935, '1880123': 0.02723697744000228, '5055633': 0.020027427093896707, '2892098': 0.01300935448240466, '6503193': 0.01106096053905833, '2892104': 0.008254869808752056, '5612805': 0.007944218029517532, '2892105': 0.007914068344329124, '6779130': 0.005227210281121983, '2173888': 0.004722479656000462, '406461': 0.0022534363040596713, '1880126': 0.0}"
47,501827,springfield area zip codes,"{'1880121': 4099.527821804556, '1880129': 3766.053768109236, '1880128': 3633.1675965290856, '1880123': 3400.1657977100413, '3302769': 3023.985006897258, '1880126': 1825.7237837479502, '3302762': 1473.3322393257, '3309549': 1271.5651263980812, '3302763': 1173.6310365065979, '3309552': 1061.2483571401556, '3302770': 1041.2845475926358, '3309551': 716.4241516024586, '3309550': 705.3181156926646, '3309554': 698.2487229594308, '3302767': 115.57581827342095, '3163389': 52.99126761043039, '172362': 42.96898426173656, '428244': 35.53504051124405, '3163393': 32.099953859813105, '428252': 24.734120062071106, '1853585': 23.078981503540955, '428249': 21.655110930424012, '3132747': 17.98919632593841, '428250': 16.732425104014144, '3132749': 12.03356493213673, '1853577': 11.605885465638188, '3132750': 9.677878862105937, '2892105': 5.791102058848605, '6779130': 4.773607400342182, '1853578': 4.23267522485122, '6779124': 4.163887893048257, '2173887': 4.148314671675805, '5383218': 3.6888143366016046, '6503186': 3.2684303542085957, '3132756': 3.242544709156014, '1853579': 3.1836219526344745, '6503191': 2.7242509747456802, '6610796': 2.669522219584834, '102386': 2.2872314903039452, '2892098': 2.2534044983745787, '5264165': 2.0831566739108074, '7945686': 2.07169581825238, '2892101': 1.9154562623064064, '6779132': 1.8247148659797996, '1037776': 1.7579005159967933, '2629972': 1.6707285943698176, '6503185': 1.6084162645564941, '6779126': 1.1505037341280624, '1853584': 1.1242437810014474, '4703546': 0.8006361511998774, '2096600': 0.7513170804031839, '1513887': 0.6878038512002044, '2892099': 0.5690861072501615, '5691043': 0.4588716460625655, '6610801': 0.39349268458749886, '1301088': 0.36446769954898295, '4703547': 0.3541059130238662, '3163397': 0.35171922523576454, '1513881': 0.29027120317188637, '5612807': 0.20596631642615815, '4703543': 0.1854786939630498, '2173889': 0.1640143770372457, '5055630': 0.14307119425538872, '6800104': 0.13850511579630137, '266746': 0.13014074945977647, '2126696': 0.12814041447924884, '172358': 0.11818181553192639, '2096605': 0.11344037832641778, '3163395': 0.11283571965523526, '3163390': 0.10830490802878946, '2096604': 0.10524161050718292, '4175404': 0.10290484218376857, '2892104': 0.10263698197742102, '3193115': 0.08670165842595597, '5783175': 0.08529720328010254, '6610800': 0.07013199305373441, '7945681': 0.0625455353290298, '903205': 0.04527868629666243, '4562797': 0.040280321065153314, '2173893': 0.037881437028119004, '266748': 0.035664102278028784, '2892106': 0.03476731972918765, '1282690': 0.0315219324903203, '16521': 0.031022415079770563, '406461': 0.023956067193260506, '2096603': 0.022909515071345372, '2096608': 0.022007905604692502, '2096601': 0.021068047598089803, '207688': 0.020361993666699375, '739807': 0.019378397243360247, '172364': 0.01871896108642742, '4703541': 0.016952866811505027, '6503189': 0.015564253495272011, '3163396': 0.011604641375025513, '686271': 0.011299739704492377, '6779129': 0.010473868709241333, '2130525': 0.008490703750955756, '1008954': 0.008273522779676325, '207689': 0.007663181435591181, '6936661': 0.00749924201463366, '4175409': 0.007027700180450127, '2710841': 0.004014556425402808, '207685': 0.003533868446384162, '4298031': 0.00213193646472812, '207687': 0.0013190613291327146, '903198': 0.0004952853538353817, '903201': 0.0002120250238853395, '5151304': 1.4811590228707034e-05, '4562795': 0.0, '1008960': 0.0, '1808631': 0.0, '6936667': 0.0, '2173891': 0.0, '686273': 0.0, '1282691': 0.0}"
48,505939,swelling feet ankles causes,"{'1961385': 68.71563526856869, '17276': 60.44933129266158, '283486': 54.554275037830116, '163907': 53.8247593205068, '40243': 37.37668751982954, '369811': 11.643074341341784, '369813': 9.13617888396116, '369809': 7.178856780302174, '369816': 6.240816128325835, '239291': 3.5834587113503087, '922450': 3.057992811283203, '2043840': 2.0322756935568806, '555227': 0.9331790705356393, '3034354': 0.618621840074949, '1538225': 0.5946264969587831, '1198279': 0.5058203642239579, '976907': 0.5025473900811792, '1538223': 0.49385655082754676, '676539': 0.45689463889890813, '976908': 0.309846033243446, '3232611': 0.30334107994392423, '676540': 0.13535267153592534, '1538228': 0.10732321289493782, '5720191': 0.0866516061272976, '3034353': 0.06522714484038322, '1538231': 0.05855248229572591, '5729317': 0.045408230483807654, '113921': 0.02386993576085942, '867077': 0.023423967045168147, '470228': 0.020298613279838618, '5729318': 0.014356921922966222, '555230': 0.012342821049420962, '7182021': 0.006787340233449562, '5729316': 0.005896517013899222, '3463399': 0.0052963795793380996, '3093882': 0.004246627030728832, '867078': 0.0025117291918252045, '676537': 0.0019967083164882026, '1538227': 0.00048145396001728026, '1517073': 0.00019726587604497497, '5729321': 0.0}"
49,459223,most romantic resort in arizona,"{'2016862': 450.1062354906973, '2016860': 445.2633329083384, '2016864': 408.54842369302423, '2016861': 370.54399424361895, '2016868': 312.40470442045444, '1406125': 98.1983986004387, '1406122': 61.668657079458896, '881364': 42.70401680109196, '881363': 25.8662521616693, '1406117': 22.860305641358913, '881358': 18.19674318815388, '1406119': 17.1953192635195, '4175403': 13.088978366739708, '881362': 12.75172707382339, '3730566': 12.417062493839016, '1406120': 9.041953852726502, '232436': 8.469368826062079, '3730562': 4.564311667529991, '3730565': 3.725771196858709, '232429': 2.618646559235816, '1578307': 1.1924017314394537, '1578306': 0.9840926429829159, '2146626': 0.8375589953986294, '2296831': 0.7118876477455707, '3730558': 0.5765212328505023, '1578311': 0.42718601446867505, '4828348': 0.3169397514004447, '232435': 0.29989349147586614, '232431': 0.2133139892308466, '3730561': 0.20196288519908473, '3730567': 0.16139287320346096, '232432': 0.07519954189957116, '1578312': 0.06097242453174358, '2146624': 0.044646502036608304, '881360': 0.03577800459237029, '1578313': 0.03421350631617121, '4474923': 0.006276315239351263, '4828346': 0.0039686985142506955, '1578304': 0.0, '2146621': 0.0, '1578305': 0.0}"
50,1145409,what to use carnitine in,"{'2019373': 13.830673467251312, '2019368': 9.073488361241527, '2019365': 8.521219206989642, '2515386': 4.0, '8238450': 3.6830074967277238, '5712808': 3.458387296467553, '5712806': 3.347042920455895, '416657': 3.117895886505761, '5712812': 2.8919566222066133, '5712807': 2.7734071708268866, '416656': 2.5554561650548133, '2019364': 2.3541860155617274, '3467969': 1.7877989351199253, '2019370': 1.758830938889765, '4365155': 1.6339782857525111, '4365158': 1.6183498467016935, '992968': 1.578918503298523, '3467970': 1.5129843124569544, '875172': 1.2334524360087, '875168': 1.016468742403446, '6990600': 1.0149077626193108, '2515382': 1.0, '4394704': 0.9789908238877942, '4117262': 0.9234715121329016, '2515380': 0.8966608954950871, '4394703': 0.8868146185088996, '875170': 0.8772581388872884, '416664': 0.8231509616659862, '4394697': 0.8216098641839031, '7045573': 0.755667315830151, '4394705': 0.66784003090536, '2482602': 0.45510223611963735, '7045576': 0.44632042319640874, '3467973': 0.43010782198088804, '2759420': 0.33513070537055645, '3665327': 0.30128696889074436, '5712813': 0.3009159194554921, '875171': 0.249352902620533, '2019366': 0.24683633995409135, '3494283': 0.23561366319335394, '2759427': 0.20113520643590194, '6990598': 0.17993163556214686, '3996750': 0.17975831632635803, '7045574': 0.14686351600870443, '1386350': 0.12963441107589868, '786641': 0.11872644629341261, '6990597': 0.11552904147757487, '416659': 0.11313625824851199, '4690514': 0.11008559052204311, '2135077': 0.10995349867397998, '4117263': 0.10666334663538876, '786638': 0.10093879631890934, '8238449': 0.09507045101305454, '875164': 0.0940076786894211, '7045570': 0.09245240592385179, '6651787': 0.07346202476249092, '671063': 0.06661385272402741, '4117267': 0.06526288118518385, '786636': 0.06511448610201137, '4365157': 0.04981959175034444, '6990601': 0.04899456494847391, '2759422': 0.048034456114228824, '6651784': 0.047321058744900155, '2759426': 0.046659864917106275, '5675560': 0.04315797269527443, '3494288': 0.04274206096477653, '1679430': 0.042015019989448774, '4148210': 0.038601797820418206, '3034358': 0.03813795123002178, '338203': 0.03598671712653784, '4394699': 0.030095114833342932, '3494284': 0.028649437684263528, '3316291': 0.028064121058477113, '4365154': 0.027851468593955164, '3494287': 0.02383741716902885, '2759419': 0.023567521580179454, '4026382': 0.023380357115527037, '3316294': 0.021453451570098276, '2629976': 0.018795721794772742, '1679431': 0.018553078101521295, '3494285': 0.014519490193352963, '786640': 0.01023899293231852, '3467971': 0.009455144679331938, '1771383': 0.00851088032583066, '1588461': 0.0067007394865826195, '1031174': 0.006605502428903886, '6323384': 0.005836432623594823, '3034359': 0.004697384603708858, '6651782': 0.0037455113749092234, '251892': 0.0023886668359671655, '1639027': 0.0, '1588463': 0.0, '263120': 0.0}"
51,241213,how long can a fish live ?,"{'2044464': 93.05568116901921, '2044460': 77.33122800681105, '147333': 71.90539847708995, '2044458': 68.38936068164506, '2044463': 22.953624387755276, '706238': 7.38575878473439, '706243': 6.953262099386631, '7924170': 6.595143154862422, '4175409': 5.080165190525345, '706236': 5.034207690599258, '7924177': 4.512250188897193, '706240': 3.3658089054797395, '706235': 3.0589569764823805, '7924175': 1.5821096097997438, '4175406': 1.3251842546888564, '2998249': 0.9727780401191353, '5783175': 0.8705822903973323, '2629981': 0.7971549316376804, '2998244': 0.4486673714846627, '2998248': 0.43916893330832396, '172364': 0.2967963717961455, '2629972': 0.2765493541236845, '3335176': 0.2697017123626907, '4175407': 0.2631079590686556, '4950836': 0.26123668773121833, '3335172': 0.23197155346232498, '3614173': 0.2204657785856068, '2998247': 0.2182349909441033, '3335168': 0.2167268670364914, '2096601': 0.1900899188780802, '16521': 0.15466090065393287, '2302160': 0.12960785960319843, '2998251': 0.10561505200853798, '7924171': 0.07122332310267541, '4950840': 0.05437901267769217, '4175404': 0.046604228719701137, '4950842': 0.0401140475758982, '4152762': 0.031763926268114355, '2754979': 0.020970334511259788, '5783171': 0.017495674092888304, '3467971': 0.01670908065376789, '3335171': 0.013400550957365927, '2629976': 0.012831980257415642, '1513883': 0.003908446836491994, '5021024': 0.0034670912307163734, '2759421': 0.0028648775729689657, '2754978': 0.0023131681921896596, '2096605': 0.0003377530856665656, '3335174': 0.0, '6936661': 0.0}"
52,436073,largest cat breeds,"{'2096601': 292.68627515065083, '2096600': 284.9857492987666, '2096604': 248.06310681647355, '2096603': 233.74236244951967, '2096608': 191.34979841971534, '2096605': 183.60886528598232, '2998249': 18.945377004102983, '3335174': 15.38458697492094, '147333': 13.827037755708998, '2998244': 13.351139088158307, '2998248': 8.442894439758751, '2998247': 6.420944116211573, '7924175': 3.213553467269941, '4175409': 2.981107592700287, '16521': 1.89729617408502, '4175407': 1.5640555961866376, '4703539': 1.208019283448183, '7924170': 1.0705101284648766, '428250': 1.0014576292750625, '3335168': 0.962122947922695, '2044463': 0.6882199589485085, '3193111': 0.6657483254724962, '1639019': 0.5697662774770464, '2629981': 0.5436343836133443, '3163393': 0.5059720672303858, '2629976': 0.41237132524283393, '2998251': 0.38794152422369826, '2629972': 0.36976050466064136, '3008363': 0.2787658723046368, '2044464': 0.27339784400982103, '5783176': 0.21722550673500046, '2629974': 0.21048444915248785, '2044458': 0.15003786740531969, '706238': 0.14574094121856354, '2044460': 0.14354446637112317, '3730561': 0.13636349279345833, '4703541': 0.12117211772960895, '3335177': 0.11362100444222345, '2629975': 0.10879805459316264, '5783177': 0.10555578934205437, '6368196': 0.08108780748404068, '6368191': 0.08042740263929053, '428252': 0.0764560107624701, '5055630': 0.06588333179780474, '6936667': 0.06344609080202278, '6936665': 0.059281885121032295, '5783175': 0.05572307114330095, '5055636': 0.047095443240874876, '5055631': 0.03241658310663098, '6800104': 0.029644279183240356, '1301088': 0.029233138252790128, '3335172': 0.021637028323076, '6610805': 0.016086641995123503, '4950842': 0.014300214865430892, '2859093': 0.01274275308286551, '4562795': 0.011899585201500024, '6368194': 0.011311945013810212, '2710841': 0.007360517495464979, '3335171': 0.006527258462377289, '4175406': 0.006181801876608333, '4950836': 0.005390514764369264, '2859089': 0.0044475824416703984, '6936661': 0.0037882129132251535, '3034360': 0.0028555572654350467, '428249': 0.002569543595015152, '172358': 0.0018785879479308774, '6610796': 0.0015043169010584647, '7924177': 0.0010026387780239635, '3008362': 0.0010019773727086114, '4950835': 0.00040214530846880125, '2153178': 0.0, '6936670': 0.0, '2153174': 0.0, '172366': 0.0}"
53,569583,what are the energy types,"{'2136580': 317.8562038416335, '1601553': 300.0410002773706, '998485': 284.1533108242471, '2136583': 196.30857208761367, '2136579': 188.0161238302695, '961738': 47.57319183126142, '406466': 10.57058874343839, '961737': 8.75209845303418, '961742': 8.101462194142897, '961743': 6.057749957866438, '961736': 4.469375547798843, '6827588': 3.461517652461956, '6827597': 3.4026312976642745, '406460': 3.0341523862923765, '406462': 2.97201296380451, '207685': 2.2142546137178893, '222579': 2.132042935368799, '2859089': 1.514878568943331, '3316294': 1.1179733308114737, '222577': 0.9731882653398407, '4298031': 0.799261222611551, '2482602': 0.6862665529713142, '222578': 0.634405446897824, '554478': 0.607489255130655, '207687': 0.5548982839856118, '406465': 0.5389110722418027, '288134': 0.4183923875958187, '6827589': 0.36302669362081263, '222570': 0.3255271777630106, '2759419': 0.19682475346657624, '55269': 0.16328830813912965, '207689': 0.1170263953422539, '4365157': 0.09546171320381053, '4562792': 0.08268943891527511, '2859093': 0.07015431419723149, '6990601': 0.05184524399069145, '1927528': 0.050661645051399376, '266749': 0.04879264566128553, '266748': 0.04514595979508763, '2019366': 0.03432708537281958, '3034360': 0.033355560879194064, '4066013': 0.031855722423747554, '2442911': 0.03182543770413942, '4298027': 0.028257630320948655, '4963388': 0.023915645080428496, '2759427': 0.021890628891990633, '2436602': 0.020454353673569684, '8238453': 0.018697832557265478, '207688': 0.01646695565797171, '4562795': 0.010935579983547257, '3316295': 0.00948040779821187, '671063': 0.009391736626989264, '2759421': 0.007034438639363722, '4994209': 0.004413876893307255, '1143226': 0.003734611789626717, '2859087': 0.0018594588816860749, '4064439': 0.0012773334515901848, '7045570': 0.0011570803682610321, '4453150': 0.0009420578348042194, '317179': 0.0005089355123154076, '3467975': 0.000311955682140411, '6827594': 3.7641971423042546e-05, '102386': 0.0, '7045577': 0.0}"
54,565823,what are some romantic things to do in chicago downtown,"{'2146623': 4386.0, '2146626': 2174.6729163350506, '2146621': 924.0, '2146629': 480.0, '2146624': 0.0}"
55,202411,highest net worth housewives,"{'2153174': 5324.325453929776, '2153181': 3973.532837915287, '2153177': 3644.2237032093362, '2153178': 3001.6798165210903, '2153182': 1828.3675328001177, '288134': 8.258606683165196, '5277728': 5.585586801681365, '554479': 4.261590881363846, '3132751': 2.5790919807369126, '796286': 2.426901459741179, '334574': 2.0183290305391863, '4950840': 1.8857121301290822, '3335177': 1.7409780133957469, '4950836': 1.5601828173009722, '5055633': 1.5025724182480797, '3316294': 0.861800874290769, '554476': 0.8478990788519102, '796284': 0.7932503701927441, '4562797': 0.7277797596995211, '6800102': 0.5175735013748177, '2173889': 0.4926476957220977, '6800104': 0.4159680981653425, '3008362': 0.3352700466753134, '2436604': 0.2968949265609423, '6368194': 0.274397263117674, '2096608': 0.2704925350513734, '554478': 0.21254573686925585, '1282689': 0.20772036242279063, '2859090': 0.20738382114953496, '2096601': 0.14809406418990467, '2096604': 0.1173190464185727, '2173891': 0.11673789334848778, '3008366': 0.09017820398749307, '796288': 0.07285588338333858, '3132749': 0.07196678397375737, '6368196': 0.06771468345758508, '796290': 0.05885443186474829, '5055630': 0.048898082084564976, '2096600': 0.016317800490225888, '3132750': 0.013910505918940944, '5383221': 0.01354305244732381, '1639019': 0.008308297287012613, '903205': 0.0016779520097664673, '317175': 0.0013525322832963873, '3132747': 0.0007945608747814939, '3316295': 0.00022667304327888646, '2482608': 0.0, '961737': 0.0, '1282688': 0.0, '3335176': 0.0, '317176': 0.0, '3335172': 0.0, '222571': 0.0}"
