Query	Passage_Scores
query_150	{'passage_172358': 0.34483437874159373, 'passage_172364': 0.3372223382419388, 'passage_172366': 0.3250141978939453, 'passage_172367': 0.22490171044050053, 'passage_172362': 0.22104660135563647, 'passage_4703547': 0.06359777820772876, 'passage_3302762': 0.05776522037332351, 'passage_881362': 0.05739892089856892, 'passage_4175404': 0.055198157812340526, 'passage_2173888': 0.05435668484557356, 'passage_2146624': 0.043317450728869285, 'passage_3163395': 0.04073028121229435, 'passage_1037776': 0.03493956143760237, 'passage_334574': 0.03429782893515711, 'passage_554479': 0.031159862847325616, 'passage_207687': 0.030505534177570265}
query_151	{'passage_172364': 0.37327285918606784, 'passage_172366': 0.3668935542997776, 'passage_172358': 0.3050674251768324, 'passage_172362': 0.21290412045230955, 'passage_172367': 0.206208784542635, 'passage_4703547': 0.06628352487560156, 'passage_881363': 0.06213467046626643, 'passage_2173888': 0.061178642921846466, 'passage_4703543': 0.058687768326017145, 'passage_4175404': 0.0551426510844976, 'passage_2146624': 0.04589973283134603}
query_154	{'passage_172358': 0.3402271243711737, 'passage_172366': 0.2822719670827756, 'passage_172364': 0.2588781549284067, 'passage_172362': 0.20151774040298193, 'passage_172367': 0.18331612043228335, 'passage_4703547': 0.07713368604467113, 'passage_881362': 0.06875551118446206, 'passage_4703543': 0.06874233137210096, 'passage_4175404': 0.06485830769952976, 'passage_4703539': 0.05998610093416504, 'passage_2173888': 0.05614884034628679, 'passage_3302762': 0.051131137739514346, 'passage_2146624': 0.049174910895912555, 'passage_2173889': 0.04345038603002227}
query_161	{'passage_172358': 0.30138764787769123, 'passage_172366': 0.28315529049616095, 'passage_172364': 0.25339979081455266, 'passage_172362': 0.21033541599703992, 'passage_172367': 0.1741645854497946, 'passage_4703547': 0.06877587680610552, 'passage_3302762': 0.06470471426729967, 'passage_4703543': 0.062208786384445894, 'passage_4175404': 0.060959375798915694, 'passage_2173888': 0.05816046754515135, 'passage_4703539': 0.055844399856622796, 'passage_881362': 0.0497808803027655, 'passage_2173889': 0.04655266640433847, 'passage_1037776': 0.045924089060954174, 'passage_3163395': 0.04351979344908633, 'passage_1513887': 0.04115214192095221, 'passage_2146624': 0.03648320822297813}
query_167	{'passage_172366': 0.29884157754591095, 'passage_172358': 0.24122719026857556, 'passage_172364': 0.22969139135013397, 'passage_172362': 0.21196949554062128, 'passage_172367': 0.17626186190227244, 'passage_3302762': 0.07001846857347362, 'passage_4703547': 0.05964478063445945, 'passage_4175403': 0.05809890448085889, 'passage_4175404': 0.05688464846101165, 'passage_4703543': 0.05328003378497563, 'passage_2173888': 0.05212529525312628, 'passage_881362': 0.05021037988796741, 'passage_4703539': 0.04987923772485048, 'passage_3163395': 0.042308620324727354, 'passage_2173889': 0.04133696078617615}
query_168	{'passage_172358': 0.277227442604709, 'passage_172366': 0.25510998000931756, 'passage_172362': 0.20913731173635083, 'passage_172364': 0.19606223010922014, 'passage_172367': 0.17760289208586547, 'passage_4175403': 0.07264300576313641, 'passage_4703547': 0.06573122584465248, 'passage_4175404': 0.06543216732518768, 'passage_3302762': 0.059014818311588176, 'passage_4703543': 0.05851120342425302, 'passage_881362': 0.05457753956065747, 'passage_4703539': 0.05180373099868081, 'passage_2173888': 0.04795318096331838, 'passage_1037776': 0.044596913103066765, 'passage_1513887': 0.0412426961256526, 'passage_3163395': 0.04069522983851114, 'passage_2173889': 0.03909145880759783, 'passage_2146624': 0.03601472522712485}
query_169	{'passage_172366': 0.2541248981777114, 'passage_172358': 0.24008051095051994, 'passage_172362': 0.23265763958830254, 'passage_172367': 0.18211917334639555, 'passage_172364': 0.17480188052464884, 'passage_4703547': 0.08137520570600791, 'passage_4175404': 0.07627458430782325, 'passage_4175403': 0.0757418333266334, 'passage_4703543': 0.07178276501441339, 'passage_4703539': 0.0641608367712252, 'passage_2173888': 0.05913943441520036, 'passage_1037776': 0.05477085659603133, 'passage_881362': 0.052485053477565526, 'passage_3163395': 0.05136246388459897, 'passage_1513887': 0.05076970198319943, 'passage_2173889': 0.04972944117397246}
query_180	{'passage_172364': 0.3226062107152641, 'passage_172366': 0.286558125359621, 'passage_172358': 0.27791772408337223, 'passage_172367': 0.2684902537147499, 'passage_172362': 0.21749657491512614, 'passage_4703547': 0.062399214864383615, 'passage_4175403': 0.05932847634794541, 'passage_2173888': 0.057948851089886455, 'passage_4175404': 0.056921833879347766, 'passage_4703539': 0.05117037215201979, 'passage_881363': 0.050199711909838844, 'passage_2173889': 0.04551735394056961, 'passage_3163395': 0.044194599265746724, 'passage_1037776': 0.04306334497546716, 'passage_2146624': 0.037223919530628785}
query_181	{'passage_172364': 0.34363851901702874, 'passage_172366': 0.281416850522838, 'passage_172358': 0.26691801208225346, 'passage_172362': 0.19851750259641301, 'passage_172367': 0.19402537667922012, 'passage_4703547': 0.0658834859715678, 'passage_2173888': 0.06485339370696136, 'passage_4703543': 0.05910727815960444, 'passage_4175404': 0.05660512009729897, 'passage_881363': 0.051591683656619536, 'passage_2173889': 0.050345561093965464, 'passage_3163395': 0.04443758469772062, 'passage_1037776': 0.04196530846952612, 'passage_2146624': 0.040005356550580747}
query_192	{'passage_172358': 0.3294753315659486, 'passage_172364': 0.27527889814286166, 'passage_172366': 0.2484509371002606, 'passage_172367': 0.21985414772844145, 'passage_172362': 0.20467699388187618, 'passage_4703547': 0.0588629303215742, 'passage_3302762': 0.0576482114098104, 'passage_4175404': 0.05329477615600959, 'passage_881362': 0.05315575275633345, 'passage_2173888': 0.052580041227831026, 'passage_2146624': 0.04005301511674966, 'passage_3163395': 0.03932415213592733, 'passage_1037776': 0.0361259499458484, 'passage_334574': 0.03427464483660434, 'passage_554479': 0.031423716955405766, 'passage_288134': 0.030259488409833283}
query_193	{'passage_172358': 0.3238416915449788, 'passage_172364': 0.29157341596370767, 'passage_172366': 0.2695478388874608, 'passage_172362': 0.19965899530738113, 'passage_172367': 0.16571645398912052, 'passage_4703547': 0.06618900416348818, 'passage_3302762': 0.06394623270454161, 'passage_2173888': 0.060480474899485194, 'passage_4175404': 0.055141218596350954, 'passage_881363': 0.04968220381900786, 'passage_881362': 0.04961052527743827, 'passage_1037776': 0.04226899822340688, 'passage_3163395': 0.04143762364515705, 'passage_2146624': 0.03894647630168787, 'passage_334574': 0.03369246219985103, 'passage_554479': 0.03145848548817431, 'passage_288134': 0.03061505374743427}
query_199	{'passage_172366': 0.27890200096885154, 'passage_172358': 0.2546557829710345, 'passage_172364': 0.24475038547862693, 'passage_172362': 0.20455629031534836, 'passage_172367': 0.15806262577247931, 'passage_3302762': 0.07377595321139879, 'passage_4703547': 0.05715222570337499, 'passage_4175403': 0.05326767532858438, 'passage_2173888': 0.052574199202558194, 'passage_4175404': 0.05239385329710389, 'passage_4703543': 0.051483364637435386, 'passage_881362': 0.049988944588784216, 'passage_4703539': 0.048248519333319945, 'passage_2173889': 0.040807167591518395}
query_204	{'passage_172358': 0.26368467653528777, 'passage_172362': 0.2483667545554157, 'passage_172367': 0.23301033865507356, 'passage_172366': 0.2023357910872451, 'passage_172364': 0.14082157015915617, 'passage_4703547': 0.07868960718965169, 'passage_3302762': 0.07382272031211767, 'passage_3302763': 0.06987528581496769, 'passage_4175404': 0.06962643559184797, 'passage_3309549': 0.06833530894596827, 'passage_3309551': 0.06813563863506199, 'passage_4175409': 0.06598933434965727, 'passage_881362': 0.05728586826679957, 'passage_2173888': 0.05211173137886627, 'passage_3163395': 0.04991656421212039, 'passage_1880126': 0.04587518566189995}
query_218	{'passage_172358': 0.20718747136836135, 'passage_172367': 0.20679900313403618, 'passage_172362': 0.18650097588957087, 'passage_172366': 0.1563986149674341, 'passage_172364': 0.15313490131611646, 'passage_4703547': 0.06563394635426742, 'passage_4175404': 0.06473365866345344, 'passage_2173888': 0.06372950357209885, 'passage_1037776': 0.052354707615038305, 'passage_3163395': 0.052100488767301285, 'passage_881362': 0.04851725631407948, 'passage_3302762': 0.04801807564964638, 'passage_334574': 0.04224084811524431, 'passage_288134': 0.03964953935597724, 'passage_554479': 0.03806756679294005}
query_220	{'passage_172367': 0.2321237026186461, 'passage_172358': 0.22903616396049814, 'passage_172362': 0.22060942270975717, 'passage_172366': 0.16799440985627867, 'passage_172364': 0.12314199419799284, 'passage_4175404': 0.07292502820631151, 'passage_881362': 0.060120964816043676, 'passage_2173888': 0.055574676825896, 'passage_3163395': 0.05532962138718655, 'passage_3163393': 0.055273197427984366, 'passage_2173887': 0.05004759068493654, 'passage_1037776': 0.037814604804906955, 'passage_334574': 0.03773516462208954, 'passage_3796700': 0.03607277330712527}
query_222	{'passage_172367': 0.24670576963593485, 'passage_172362': 0.2296105399385507, 'passage_172358': 0.21437141132034432, 'passage_172366': 0.16858804518816464, 'passage_172364': 0.12245771221797572, 'passage_4703547': 0.07362023837065708, 'passage_4175404': 0.06815276369347405, 'passage_3302762': 0.06576946927985773, 'passage_3302763': 0.06294102040101668, 'passage_4175406': 0.05678459894189865, 'passage_2173888': 0.052397445365945886, 'passage_3163393': 0.051425574463007134, 'passage_3163395': 0.0512244766931253, 'passage_2173887': 0.046570422474867666, 'passage_1880126': 0.04431618219031641, 'passage_1880123': 0.04410365327399746, 'passage_3163397': 0.04377661840694454, 'passage_1880121': 0.040121879021766296}
query_224	{'passage_172358': 0.3710297867771692, 'passage_172364': 0.3353847035993266, 'passage_172366': 0.27239617475795824, 'passage_172367': 0.21832454454649722, 'passage_172362': 0.1941833477942776, 'passage_4703547': 0.06953575761738268, 'passage_881362': 0.06210589160271204, 'passage_2173888': 0.058160893371936605, 'passage_4175404': 0.056623026083509935, 'passage_3302762': 0.050413553486232186, 'passage_2146624': 0.04931510817677361, 'passage_3163395': 0.041364900977853995, 'passage_334574': 0.037956012873927414, 'passage_554479': 0.03444540511443131, 'passage_1037776': 0.033393687078162065, 'passage_554476': 0.033330962030793033}
query_225	{'passage_172358': 0.36424274337339496, 'passage_172366': 0.2975465327027752, 'passage_172364': 0.2841475708910489, 'passage_172362': 0.2090630278408069, 'passage_172367': 0.18263626836066732, 'passage_4703547': 0.08569678449169311, 'passage_4703543': 0.07514685001798828, 'passage_4703539': 0.06691826792016511, 'passage_881362': 0.06602738819878347, 'passage_2173888': 0.0637519029906292, 'passage_4175404': 0.06374838763123813, 'passage_3302762': 0.05519428189427809, 'passage_2146624': 0.049777311923178295, 'passage_2173889': 0.04887666855922813}
query_229	{'passage_172366': 0.39024702487176327, 'passage_172364': 0.3624372821973607, 'passage_172358': 0.35444901400034096, 'passage_172362': 0.22166566124935466, 'passage_172367': 0.18026452005165985, 'passage_4703547': 0.0763495710768406, 'passage_4703543': 0.06773389285132535, 'passage_2173888': 0.06399466450324617, 'passage_4175403': 0.06334907510309103, 'passage_4703539': 0.06184328342949867, 'passage_4175404': 0.05836936552053881, 'passage_2173889': 0.04834018698248684}
query_237	{'passage_172362': 0.3488307240321791, 'passage_172366': 0.23500331967235968, 'passage_172367': 0.23368145292194129, 'passage_172358': 0.205907739357583, 'passage_172364': 0.12723668857501994, 'passage_4703547': 0.10493591366136215, 'passage_4175404': 0.09230757311825116, 'passage_4703543': 0.08209247757134734, 'passage_4175409': 0.08092039915329896, 'passage_4703539': 0.08052771357309017, 'passage_3302762': 0.07804488255957377, 'passage_4175403': 0.07669821756457003, 'passage_3302763': 0.07399584820034533, 'passage_3309551': 0.0720949210505695, 'passage_3309549': 0.07197108790327711, 'passage_4175406': 0.07034824654533527, 'passage_3163395': 0.06928198147086466, 'passage_3163397': 0.06235583673354354}
query_240	{'passage_172358': 0.315510204381231, 'passage_172364': 0.2572585633427217, 'passage_172366': 0.25075305650832874, 'passage_172362': 0.1925396609928244, 'passage_172367': 0.19082482118861063, 'passage_4703547': 0.06057347280627183, 'passage_3302762': 0.05708863095433939, 'passage_4175404': 0.05637187753834568, 'passage_881363': 0.05249772951610225, 'passage_881362': 0.05233618588271802, 'passage_2173888': 0.05011863657495024, 'passage_2146624': 0.039107207443495696, 'passage_3163395': 0.03888116966101897, 'passage_1037776': 0.03869148498334667, 'passage_334574': 0.032799953303434, 'passage_554479': 0.029804565574124444, 'passage_288134': 0.029020859295305863}
query_258	{'passage_172364': 0.2799097679310437, 'passage_172358': 0.26394556035299765, 'passage_172367': 0.24266461373140275, 'passage_172366': 0.2227927086445666, 'passage_172362': 0.19638751814960606, 'passage_2173888': 0.059135505516262746, 'passage_4175404': 0.055803862227695046, 'passage_881363': 0.04979648320067666, 'passage_881362': 0.04973345086752143, 'passage_3163395': 0.0428485778472224, 'passage_1037776': 0.04144338855937664, 'passage_334574': 0.03781805801163005, 'passage_2146624': 0.03746527433243095}
query_264	{'passage_172358': 0.24933337575503303, 'passage_172366': 0.21936798352254258, 'passage_172367': 0.21912582130079414, 'passage_172364': 0.21317000356913934, 'passage_172362': 0.2104545689474908, 'passage_4703547': 0.07062419517495885, 'passage_4175403': 0.06862607338210397, 'passage_4175404': 0.06564740363967426, 'passage_4703543': 0.0629564272793084, 'passage_2173888': 0.05988382750922505, 'passage_4703539': 0.05681126654750958, 'passage_881362': 0.05319903153549114, 'passage_3302762': 0.04966000634370321, 'passage_1037776': 0.04842503728477117, 'passage_2173889': 0.0482459885781201, 'passage_3163395': 0.04746102593615841, 'passage_334574': 0.03968579755474432, 'passage_2146624': 0.03620901512408561}
query_265	{'passage_172358': 0.2259243211101229, 'passage_172366': 0.2143038307176167, 'passage_172362': 0.19624345933787254, 'passage_172364': 0.18887540544961964, 'passage_172367': 0.18709854120175343, 'passage_4703547': 0.0836443678445609, 'passage_4175403': 0.0784982490520396, 'passage_4703543': 0.07346332655125772, 'passage_4175404': 0.0719763393767244, 'passage_4703539': 0.06559113754570077, 'passage_2173888': 0.06197782223265063, 'passage_881362': 0.058808980399567785, 'passage_2173889': 0.05093031799521108, 'passage_3302762': 0.05001266800117398, 'passage_3163395': 0.049569042944244614, 'passage_1037776': 0.04572280531624833, 'passage_334574': 0.042340235440500876, 'passage_2146624': 0.03948072508687395}
query_267	{'passage_172358': 0.2589754674596754, 'passage_172366': 0.25681148598411485, 'passage_172364': 0.23411462630434102, 'passage_172362': 0.20047188249428788, 'passage_172367': 0.18962503436895223, 'passage_4703547': 0.07623743990475404, 'passage_4175404': 0.06882515411042676, 'passage_4703543': 0.06815665755692586, 'passage_881362': 0.06384960424840663, 'passage_2173888': 0.06065042621326785, 'passage_4703539': 0.06027176601102715, 'passage_3302762': 0.049085411035760064, 'passage_2173889': 0.04801751273251774, 'passage_1513887': 0.04570888536170918, 'passage_3163395': 0.045685361900398375, 'passage_2146624': 0.04344992511302541}
query_269	{'passage_172367': 0.2077187527085307, 'passage_172362': 0.20353352057705376, 'passage_172358': 0.12814330085996217, 'passage_172366': 0.12548370100046652, 'passage_172364': 0.09846529229317746, 'passage_1037776': 0.07619869259642922, 'passage_4175404': 0.0752880627650188, 'passage_4703547': 0.07218047927835995, 'passage_3163395': 0.07087501965570837, 'passage_4175409': 0.06949979943136411, 'passage_3163393': 0.06770114174713557, 'passage_4175406': 0.06636383071547444, 'passage_3163397': 0.0646510244476119, 'passage_2173888': 0.06173562440986054, 'passage_2173887': 0.05999493526893181}
query_273	{'passage_172358': 0.3238416915449788, 'passage_172364': 0.29157341596370767, 'passage_172366': 0.2695478388874608, 'passage_172362': 0.19965899530738113, 'passage_172367': 0.16571645398912052, 'passage_4703547': 0.06618900416348818, 'passage_3302762': 0.06394623270454161, 'passage_2173888': 0.060480474899485194, 'passage_4175404': 0.055141218596350954, 'passage_881363': 0.04968220381900786, 'passage_881362': 0.04961052527743827, 'passage_1037776': 0.04226899822340688, 'passage_3163395': 0.04143762364515705, 'passage_2146624': 0.03894647630168787, 'passage_334574': 0.03369246219985103, 'passage_554479': 0.03145848548817431, 'passage_288134': 0.03061505374743427}
query_278	{'passage_172366': 0.2863698121456569, 'passage_172358': 0.27842716904582887, 'passage_172364': 0.26925900073701553, 'passage_172362': 0.2086978812642223, 'passage_172367': 0.18614209108865895, 'passage_3302762': 0.0661203593338923, 'passage_4703547': 0.056177177204267695, 'passage_4175403': 0.05616938923958759, 'passage_4175404': 0.052921082490771064, 'passage_4703543': 0.05035736973620877, 'passage_881362': 0.04966939679091774, 'passage_2173888': 0.048770069391679265, 'passage_4703539': 0.046273102988892485, 'passage_3163395': 0.038258116187949484, 'passage_1037776': 0.03824429362310491, 'passage_2173889': 0.03824230464357765}
