Query	Passage_Scores
query_35	{'passage_172364': 0.3668167059047664, 'passage_172362': 0.2695122977033731, 'passage_172367': 0.25987847682533993, 'passage_172358': 0.2204309896085119, 'passage_172366': 0.16671272063790285, 'passage_2173888': 0.09215593217106342, 'passage_2173893': 0.07240629381042364, 'passage_428250': 0.06314797258413034, 'passage_1282689': 0.05554304286763327}
query_37	{'passage_172362': 0.385143182108521, 'passage_172358': 0.3513566038296856, 'passage_172364': 0.27698667726181025, 'passage_172367': 0.22636270559117272, 'passage_172366': 0.21176711744002433, 'passage_2173888': 0.10087731407130499, 'passage_2173893': 0.07360355191403595, 'passage_3163389': 0.06083352303988762, 'passage_3163390': 0.05966417959348665, 'passage_428250': 0.059044426905036494, 'passage_5055630': 0.058900008455947436, 'passage_961074': 0.056456180684846556, 'passage_16521': 0.05465440383756558, 'passage_428244': 0.04811405209107964, 'passage_1282689': 0.04665887903064225}
query_39	{'passage_172362': 0.3802393918863629, 'passage_172364': 0.35870120905321357, 'passage_172358': 0.29075564568761963, 'passage_172367': 0.280633897517101, 'passage_172366': 0.19823458285650095, 'passage_2173888': 0.09277499309902452, 'passage_2173893': 0.07045166354496657, 'passage_428250': 0.06278389916781386, 'passage_5055630': 0.05269486691928613, 'passage_428244': 0.051486175647690036, 'passage_3163390': 0.051373737549257434, 'passage_961074': 0.050527442240357795, 'passage_1282689': 0.0495423019936556}
query_40	{'passage_172364': 0.47662193381536416, 'passage_172362': 0.46212145730487053, 'passage_172358': 0.33556928624229804, 'passage_172367': 0.32479239252874614, 'passage_172366': 0.23998449191134835, 'passage_2173888': 0.08459063880715437, 'passage_2173893': 0.06266000373090098, 'passage_5055630': 0.05824800909785859, 'passage_961074': 0.056844916727305544, 'passage_428250': 0.05620413878725704, 'passage_3163390': 0.05481933984118432, 'passage_16521': 0.04837661953964083, 'passage_428244': 0.04643561107232176, 'passage_2629976': 0.04423487356929925, 'passage_1282689': 0.04340336172875367}
query_44	{'passage_172367': 0.3018659562367746, 'passage_172364': 0.27648977561918725, 'passage_172362': 0.2048322650404244, 'passage_172366': 0.14955545596355757, 'passage_172358': 0.14822042714562209, 'passage_2173888': 0.059956822776997064, 'passage_428250': 0.05711060768254463, 'passage_3163396': 0.05021180326881959, 'passage_5055630': 0.04982019467607104, 'passage_2173893': 0.04862108810369786, 'passage_428244': 0.04859366636385124, 'passage_6610801': 0.04803491209078374, 'passage_428246': 0.04335418758919482, 'passage_428249': 0.042470682162790874, 'passage_2629976': 0.042112994568152456, 'passage_4175409': 0.04185913420092124, 'passage_16521': 0.04068634617684467, 'passage_1282689': 0.03915732815432047}
query_50	{'passage_172362': 0.39141714450423315, 'passage_172364': 0.39010764650101126, 'passage_172358': 0.344791603096014, 'passage_172367': 0.31980314841135143, 'passage_172366': 0.20036611694149023, 'passage_5055630': 0.058341507596577795, 'passage_428250': 0.05776352110705284, 'passage_961074': 0.05652642301172558, 'passage_3163390': 0.055676818561503354, 'passage_3163396': 0.05442980283891328, 'passage_3163389': 0.05272110160084144, 'passage_288134': 0.04622926590034923, 'passage_428249': 0.0414573259672291, 'passage_334574': 0.03796109705665503, 'passage_6368194': 0.03735868413905596, 'passage_1880121': 0.03648095397205295}
query_55	{'passage_172362': 0.41638620031485307, 'passage_172364': 0.37196947538899183, 'passage_172358': 0.36366120802329815, 'passage_172367': 0.266322550817026, 'passage_172366': 0.20196028841117583, 'passage_2173888': 0.11529193517193775, 'passage_2173893': 0.07926701355536889, 'passage_428250': 0.06023148812614338, 'passage_3163390': 0.05918540593887946, 'passage_5055630': 0.05908663472884008, 'passage_3163389': 0.054557003224524475, 'passage_961074': 0.0544728670985849, 'passage_1282689': 0.04824414173839558}
query_58	{'passage_172358': 0.38028882977586737, 'passage_172362': 0.29137444778352206, 'passage_172367': 0.24538009212908848, 'passage_172364': 0.2231747342723199, 'passage_172366': 0.17408834992018915, 'passage_2173888': 0.10523583864020584, 'passage_2173887': 0.07725817530219233, 'passage_2173893': 0.07335171714683447, 'passage_5055630': 0.06706303794390735, 'passage_4703543': 0.06696853223981966, 'passage_4703547': 0.06414204502884055, 'passage_428250': 0.06287358653716979, 'passage_3193114': 0.06056137509328992}
query_62	{'passage_172367': 0.3867155412125076, 'passage_172364': 0.3330361844190496, 'passage_172362': 0.29544109798923235, 'passage_172358': 0.21401051948754546, 'passage_172366': 0.19433990148343153, 'passage_3163396': 0.06108219196860601, 'passage_428250': 0.05718491513686722, 'passage_5055630': 0.05598935931891176, 'passage_6610801': 0.05170544087938653, 'passage_4175409': 0.04806235433141301, 'passage_428244': 0.04363205427185516, 'passage_288134': 0.04303885398095816, 'passage_428246': 0.04127194821502505, 'passage_428249': 0.039712870057861754, 'passage_6368194': 0.03830457988601276, 'passage_334574': 0.03652071328270233, 'passage_2892099': 0.03550173090855545}
query_82	{'passage_172364': 0.3703309585055182, 'passage_172362': 0.3632920744471516, 'passage_172367': 0.32902623128161285, 'passage_172358': 0.26448799169607357, 'passage_172366': 0.19983440765502952, 'passage_2173888': 0.07659312749181249, 'passage_2173893': 0.05772738923637944, 'passage_428250': 0.057686732195704936, 'passage_961074': 0.0530950741542558, 'passage_3163390': 0.05266971654769942, 'passage_3163389': 0.051460766374946225, 'passage_428244': 0.047479507634034385, 'passage_16521': 0.04675132389845313, 'passage_2629976': 0.043454750822552464, 'passage_1282689': 0.041510628759744116}
query_87	{'passage_172364': 0.35362603970381074, 'passage_172362': 0.3513854506578141, 'passage_172367': 0.30644523636143006, 'passage_172358': 0.25710143730505863, 'passage_172366': 0.19269729271159786, 'passage_2173888': 0.08219754514178418, 'passage_2173893': 0.06311487398307665, 'passage_428250': 0.06243906900267697, 'passage_3163390': 0.05250880766748998, 'passage_961074': 0.05093143119949396, 'passage_428244': 0.049791035259744605, 'passage_3163389': 0.04972618200539945, 'passage_1282689': 0.04556802763244031}
query_91	{'passage_172364': 0.39166323869670244, 'passage_172362': 0.378495300412026, 'passage_172367': 0.3521260186083582, 'passage_172358': 0.2544751526380865, 'passage_172366': 0.25081027547652296, 'passage_2173888': 0.07891358357804704, 'passage_4703543': 0.06150940952052668, 'passage_5055630': 0.061083259444701055, 'passage_428250': 0.06106788427469865, 'passage_961074': 0.06072569034264091, 'passage_4703547': 0.057612875686721444, 'passage_3163390': 0.05676137288476936, 'passage_6800104': 0.052817074154462566}
query_100	{'passage_172362': 0.47346555595989326, 'passage_172358': 0.34772530419750747, 'passage_172364': 0.32711674574622857, 'passage_172366': 0.24949474129815086, 'passage_172367': 0.22342457666204274, 'passage_2173888': 0.09793086198383852, 'passage_3163390': 0.06819354950271703, 'passage_4703547': 0.0654897928537377, 'passage_3163389': 0.06483302763331573, 'passage_4703543': 0.06419932589365028, 'passage_961074': 0.06384900940330313, 'passage_5055630': 0.06288234537051048, 'passage_6800104': 0.060871401660027226}
query_104	{'passage_172362': 0.34560752629446073, 'passage_172358': 0.3027047748780438, 'passage_172364': 0.25900041477285096, 'passage_172366': 0.25139178475623636, 'passage_172367': 0.21225053256700066, 'passage_2173888': 0.09477097363276911, 'passage_961074': 0.07062815774067846, 'passage_4703547': 0.06911355974534894, 'passage_5055630': 0.06767811381497947, 'passage_4703543': 0.06763666808761605, 'passage_3163390': 0.06494920020915383, 'passage_6800104': 0.06416288223453485}
query_110	{'passage_172367': 0.29004996040859105, 'passage_172364': 0.2094127660393689, 'passage_172362': 0.2007426460556797, 'passage_172366': 0.1585832981519259, 'passage_172358': 0.145019203776828, 'passage_3163396': 0.06219795250608325, 'passage_428250': 0.05673653258050687, 'passage_5055630': 0.053896022188413925, 'passage_4175409': 0.05169524957534055, 'passage_6610801': 0.04799867581547752, 'passage_288134': 0.043076248592978685, 'passage_428244': 0.04205800302602743, 'passage_428246': 0.04054098359477272, 'passage_6368194': 0.039872096086657406, 'passage_428249': 0.03887491939958625, 'passage_334574': 0.03664810942180541, 'passage_554476': 0.03565702825643108, 'passage_5135405': 0.03431785660423795, 'passage_2892099': 0.03409679914464849}
query_114	{'passage_172364': 0.4618000460514796, 'passage_172362': 0.3956233680389516, 'passage_172367': 0.3084307636510134, 'passage_172358': 0.2723487191971793, 'passage_172366': 0.20534573030017067, 'passage_2173888': 0.08506897428862413, 'passage_2173893': 0.06406370005312438, 'passage_428250': 0.05631020015232749, 'passage_961074': 0.0513230751373207, 'passage_3163390': 0.049466858095183766, 'passage_3163389': 0.04801122918655306, 'passage_428244': 0.04731750192664996, 'passage_1282689': 0.045052173378993754}
query_115	{'passage_172364': 0.3668167059047664, 'passage_172362': 0.2695122977033731, 'passage_172367': 0.25987847682533993, 'passage_172358': 0.2204309896085119, 'passage_172366': 0.16671272063790285, 'passage_2173888': 0.09215593217106342, 'passage_2173893': 0.07240629381042364, 'passage_428250': 0.06314797258413034, 'passage_1282689': 0.05554304286763327}
query_116	{'passage_172362': 0.4672859481390366, 'passage_172364': 0.42572983910470036, 'passage_172358': 0.3333859525603821, 'passage_172367': 0.29453449183348424, 'passage_172366': 0.206458665488355, 'passage_2173888': 0.08828907747568476, 'passage_2173893': 0.06659870301234659, 'passage_428250': 0.0571069934816217, 'passage_3163390': 0.0545997402700134, 'passage_5055630': 0.05394764745848245, 'passage_3163389': 0.05313103824277296, 'passage_961074': 0.05149091865937913, 'passage_16521': 0.047327945482807235, 'passage_428244': 0.046332180081541254, 'passage_1282689': 0.04479299999816446}
query_132	{'passage_172362': 0.43456233846153425, 'passage_172358': 0.432352909458893, 'passage_172364': 0.3733245558666909, 'passage_172367': 0.26191713058678984, 'passage_172366': 0.19924997366633973, 'passage_2173888': 0.11121966512667969, 'passage_5055630': 0.06065050339082615, 'passage_3163390': 0.06043580712390145, 'passage_961074': 0.05668857817080583, 'passage_428250': 0.05660881163046942, 'passage_3163389': 0.05658811104069046, 'passage_3163396': 0.05307137225102122, 'passage_16521': 0.04926387209311804, 'passage_288134': 0.047389135986265644, 'passage_1282689': 0.04527293303789663, 'passage_428249': 0.039728972941182085, 'passage_334574': 0.0387818076523049}
query_134	{'passage_172362': 0.4518181722128628, 'passage_172358': 0.38157731924694693, 'passage_172364': 0.3593556261461665, 'passage_172367': 0.2568543573507825, 'passage_172366': 0.2039741040303641, 'passage_2173888': 0.09819591084148818, 'passage_3163390': 0.06659862264406054, 'passage_3163389': 0.06321598900342851, 'passage_5055630': 0.061161657117304945, 'passage_3163396': 0.05823135023848633, 'passage_961074': 0.057543584524913836, 'passage_428250': 0.053242564680034674, 'passage_16521': 0.050789128840755135, 'passage_288134': 0.045251742419795, 'passage_1880121': 0.04202954352353555}
query_139	{'passage_172358': 0.37695252453779, 'passage_172362': 0.3650748443599385, 'passage_172364': 0.3172551445591763, 'passage_172367': 0.2897489831566565, 'passage_172366': 0.22933148097365286, 'passage_2173888': 0.10953307401957729, 'passage_2173887': 0.08032016044758014, 'passage_2173893': 0.07392629225725153, 'passage_5055630': 0.06497829132133061, 'passage_428250': 0.06359343517895888, 'passage_4703543': 0.061264093075863224, 'passage_961074': 0.06083140554604216, 'passage_4703547': 0.05765198953616893, 'passage_3163390': 0.057490562304107186, 'passage_3163396': 0.055367502151543097}
query_141	{'passage_172367': 0.24879172143305103, 'passage_172358': 0.24213941040639025, 'passage_172362': 0.20921181540707415, 'passage_172364': 0.17167747926962268, 'passage_172366': 0.14500069416183306, 'passage_2173888': 0.08749893919153925, 'passage_428250': 0.0776087203762948, 'passage_4703543': 0.06829813449389306, 'passage_4703547': 0.06556197892985428, 'passage_2173887': 0.06524742287822534, 'passage_5055630': 0.06422739098964833, 'passage_428244': 0.06067158021297342, 'passage_3163396': 0.06047072281160533, 'passage_16521': 0.058380538243400615, 'passage_6610801': 0.058006014482870925, 'passage_3193114': 0.05581734842158123}
query_144	{'passage_172364': 0.4075935568628988, 'passage_172362': 0.33026730882871547, 'passage_172367': 0.323828540092477, 'passage_172358': 0.2949482140234193, 'passage_172366': 0.2052342788989037, 'passage_2173888': 0.08280280075972282, 'passage_2173893': 0.06106449865085304, 'passage_428250': 0.05708690910158741, 'passage_961074': 0.05265973399469947, 'passage_428244': 0.04749597275800365, 'passage_1282689': 0.04606495421214901}
query_145	{'passage_172358': 0.370324157462952, 'passage_172362': 0.309232265900935, 'passage_172367': 0.2520211150593061, 'passage_172364': 0.23654231550404278, 'passage_172366': 0.2195104131185546, 'passage_2173888': 0.10349905074920315, 'passage_2173887': 0.07655142466000271, 'passage_2173893': 0.07384414471914384, 'passage_4703547': 0.06469318127345354, 'passage_428250': 0.06421548873923023, 'passage_4703543': 0.06232220735824526, 'passage_5055630': 0.06051790801647713, 'passage_961074': 0.05733628737018133, 'passage_16521': 0.05719807876060193}
query_148	{'passage_172362': 0.4976012704062724, 'passage_172358': 0.4634579810935353, 'passage_172364': 0.40128117461018603, 'passage_172367': 0.2904595589504799, 'passage_172366': 0.2220916573227155, 'passage_2173888': 0.10439586750665811, 'passage_2173893': 0.07516778368969296, 'passage_428250': 0.0584216196329405, 'passage_5055630': 0.05591007432069113, 'passage_3163390': 0.05421494385130513, 'passage_961074': 0.05279835149887794, 'passage_3163389': 0.05219512243412589, 'passage_1282689': 0.04962721469699455}
query_153	{'passage_172358': 0.30106122482104036, 'passage_172362': 0.23633471309268947, 'passage_172366': 0.2013001878164374, 'passage_172367': 0.19140843760688592, 'passage_172364': 0.18107467322105378, 'passage_2173888': 0.09395762311176369, 'passage_2173887': 0.07127447260714838, 'passage_4703547': 0.06833004990099871, 'passage_2173893': 0.06805526114572473, 'passage_4703543': 0.06629155802828288, 'passage_5055630': 0.06320911065914822, 'passage_3193111': 0.06315260489882824, 'passage_428250': 0.06137103908566927, 'passage_3193110': 0.061125647030068786}
query_155	{'passage_172364': 0.38733017886592136, 'passage_172367': 0.336480408383218, 'passage_172362': 0.29577794530601964, 'passage_172366': 0.2406220701906214, 'passage_172358': 0.23090231112560877, 'passage_428250': 0.06111276501178098, 'passage_5055630': 0.05506536838095078, 'passage_3163396': 0.051154041288410855, 'passage_288134': 0.04756842915299769, 'passage_6610801': 0.0469930356730714, 'passage_428246': 0.0456402587787971, 'passage_428249': 0.043605294765160466, 'passage_6368194': 0.03886994196210594, 'passage_334574': 0.038514582762835335, 'passage_554476': 0.036665486181682076, 'passage_4811567': 0.03619634845399273, 'passage_5135405': 0.03413928770402736, 'passage_1008954': 0.033489027125164196}
query_157	{'passage_172367': 0.28409829974739204, 'passage_172362': 0.25686749212627874, 'passage_172358': 0.2560643129622698, 'passage_172366': 0.1894636741347767, 'passage_172364': 0.1775536171474428, 'passage_4703547': 0.08072082901521861, 'passage_2173888': 0.07588200923605141, 'passage_4703543': 0.07441407333353094, 'passage_3163396': 0.0731264577540208, 'passage_428250': 0.06893514004999235, 'passage_16521': 0.06730237177481035, 'passage_5055630': 0.06471897551406117, 'passage_4175409': 0.06137787168416052, 'passage_3163390': 0.06114697699453471, 'passage_6610801': 0.05869714434814907, 'passage_3193111': 0.05843121686706613, 'passage_3193114': 0.05804440459498659, 'passage_3193110': 0.05767210561681341, 'passage_961074': 0.05760242517691202}
query_173	{'passage_172367': 0.21226329343519865, 'passage_172358': 0.19104980587114806, 'passage_172362': 0.18778346237454718, 'passage_172364': 0.15157964609130767, 'passage_172366': 0.13409343516782402, 'passage_4703547': 0.07047089628021323, 'passage_428250': 0.06978699172425687, 'passage_2173888': 0.06889671727340925, 'passage_4703543': 0.06735912956659831, 'passage_3163396': 0.06215849391221818, 'passage_16521': 0.059308711336764464, 'passage_5055630': 0.05781873153294787, 'passage_428244': 0.05676342545504778, 'passage_4175409': 0.05544781720340205, 'passage_6610801': 0.053960662257672855, 'passage_2173887': 0.05374168793680332, 'passage_3163390': 0.05300072016841456}
query_175	{'passage_172367': 0.40117462746905386, 'passage_172364': 0.20644823915142896, 'passage_172362': 0.1862204873339259, 'passage_172366': 0.13523115240164596, 'passage_172358': 0.13104955774605906, 'passage_428250': 0.07273490039430987, 'passage_5055630': 0.060218523697953164, 'passage_6610801': 0.05758303437024816, 'passage_3163396': 0.05754799324575787, 'passage_428244': 0.05349893382051346, 'passage_428246': 0.049202046166352514, 'passage_428249': 0.04703036752748734, 'passage_4175409': 0.04638474687890491, 'passage_2892099': 0.044049527150051795, 'passage_288134': 0.04164292443897263, 'passage_4811567': 0.04082078517526113}
query_177	{'passage_172362': 0.27204938608851315, 'passage_172358': 0.23742513493330086, 'passage_172366': 0.2241765129567057, 'passage_172364': 0.20639648889286055, 'passage_172367': 0.19285213236473095, 'passage_2173888': 0.08731053903030694, 'passage_4703547': 0.0711874564861536, 'passage_961074': 0.07016507034643753, 'passage_4703543': 0.06472978645978954, 'passage_6800104': 0.06422960987445049}
query_178	{'passage_172362': 0.31824792696042686, 'passage_172364': 0.30698907982062673, 'passage_172367': 0.25587741803421765, 'passage_172358': 0.23032376424298506, 'passage_172366': 0.21479820618595868, 'passage_961074': 0.06195471541567601, 'passage_3163396': 0.05654556600250841, 'passage_5055630': 0.05439654045143839, 'passage_3163390': 0.05365677280251332, 'passage_428250': 0.052186986377186564, 'passage_3163389': 0.04998883973121459, 'passage_288134': 0.0443977188362436, 'passage_6368194': 0.0415075494308386, 'passage_428249': 0.03751212571481323, 'passage_334574': 0.03643109920839237, 'passage_5055633': 0.03408252241545179}
query_182	{'passage_172362': 0.4673832688515588, 'passage_172358': 0.3393683221400004, 'passage_172364': 0.3241980620513877, 'passage_172366': 0.2404383938750969, 'passage_172367': 0.2305711945554902, 'passage_2173888': 0.08984040752680349, 'passage_3163390': 0.06617650585167495, 'passage_3163389': 0.0635504419046734, 'passage_961074': 0.0620059911679936, 'passage_5055630': 0.05966922484667414, 'passage_3163396': 0.058470498094545784, 'passage_16521': 0.05174573558921516, 'passage_428250': 0.0497536554043419, 'passage_288134': 0.0464825809102345, 'passage_3193114': 0.04442599462119706, 'passage_6368194': 0.04155990422836407, 'passage_334574': 0.03796146536927853}
query_194	{'passage_172364': 0.4618000460514796, 'passage_172362': 0.3956233680389516, 'passage_172367': 0.3084307636510134, 'passage_172358': 0.2723487191971793, 'passage_172366': 0.20534573030017067, 'passage_2173888': 0.08506897428862413, 'passage_2173893': 0.06406370005312438, 'passage_428250': 0.05631020015232749, 'passage_961074': 0.0513230751373207, 'passage_3163390': 0.049466858095183766, 'passage_3163389': 0.04801122918655306, 'passage_428244': 0.04731750192664996, 'passage_1282689': 0.045052173378993754}
query_201	{'passage_172358': 0.36066575745646556, 'passage_172362': 0.34073817830809033, 'passage_172364': 0.25399935196312307, 'passage_172366': 0.24070492386610948, 'passage_172367': 0.21301808801359526, 'passage_2173888': 0.09581400362938629, 'passage_4703547': 0.07184203816845804, 'passage_2173887': 0.0717452559484562, 'passage_4703543': 0.07067508109358488, 'passage_2173893': 0.06892133861157794, 'passage_5055630': 0.06425646108617979, 'passage_961074': 0.06320456529524159, 'passage_3163390': 0.06099115985645438, 'passage_16521': 0.05872202141540366}
query_209	{'passage_172358': 0.27823044984579803, 'passage_172367': 0.2645430415710186, 'passage_172362': 0.23991028434651054, 'passage_172364': 0.19785951705445784, 'passage_172366': 0.14376144539212568, 'passage_2173888': 0.09951241028594801, 'passage_2173893': 0.07470451819659954, 'passage_2173887': 0.07379786466365444, 'passage_428250': 0.06973286831677056, 'passage_4703543': 0.06223877634166854, 'passage_4703547': 0.061068062101453664, 'passage_5055630': 0.06076909024957039, 'passage_428244': 0.057782173958820356, 'passage_2629976': 0.05461300906560941, 'passage_16521': 0.05441446546361253}
query_210	{'passage_172362': 0.39141714450423315, 'passage_172364': 0.39010764650101126, 'passage_172358': 0.344791603096014, 'passage_172367': 0.31980314841135143, 'passage_172366': 0.20036611694149023, 'passage_5055630': 0.058341507596577795, 'passage_428250': 0.05776352110705284, 'passage_961074': 0.05652642301172558, 'passage_3163390': 0.055676818561503354, 'passage_3163396': 0.05442980283891328, 'passage_3163389': 0.05272110160084144, 'passage_288134': 0.04622926590034923, 'passage_428249': 0.0414573259672291, 'passage_334574': 0.03796109705665503, 'passage_6368194': 0.03735868413905596, 'passage_1880121': 0.03648095397205295}
query_217	{'passage_172358': 0.2681496641611535, 'passage_172367': 0.2233612309998634, 'passage_172362': 0.2137544755283363, 'passage_172364': 0.16573769659890297, 'passage_172366': 0.14154932151716035, 'passage_2173888': 0.09335270108522663, 'passage_2173893': 0.0720366256110193, 'passage_2173887': 0.07138311108314195, 'passage_4703543': 0.06854809317917278, 'passage_428250': 0.06790653214973162, 'passage_4703547': 0.06736877596686035, 'passage_5055630': 0.06503057827695849, 'passage_3193114': 0.0634933937101604}
query_219	{'passage_172358': 0.37695252453779, 'passage_172362': 0.3650748443599385, 'passage_172364': 0.3172551445591763, 'passage_172367': 0.2897489831566565, 'passage_172366': 0.22933148097365286, 'passage_2173888': 0.10953307401957729, 'passage_2173887': 0.08032016044758014, 'passage_2173893': 0.07392629225725153, 'passage_5055630': 0.06497829132133061, 'passage_428250': 0.06359343517895888, 'passage_4703543': 0.061264093075863224, 'passage_961074': 0.06083140554604216, 'passage_4703547': 0.05765198953616893, 'passage_3163390': 0.057490562304107186, 'passage_3163396': 0.055367502151543097}
query_228	{'passage_172362': 0.4976012704062724, 'passage_172358': 0.4634579810935353, 'passage_172364': 0.40128117461018603, 'passage_172367': 0.2904595589504799, 'passage_172366': 0.2220916573227155, 'passage_2173888': 0.10439586750665811, 'passage_2173893': 0.07516778368969296, 'passage_428250': 0.0584216196329405, 'passage_5055630': 0.05591007432069113, 'passage_3163390': 0.05421494385130513, 'passage_961074': 0.05279835149887794, 'passage_3163389': 0.05219512243412589, 'passage_1282689': 0.04962721469699455}
query_253	{'passage_172367': 0.21226329343519865, 'passage_172358': 0.19104980587114806, 'passage_172362': 0.18778346237454718, 'passage_172364': 0.15157964609130767, 'passage_172366': 0.13409343516782402, 'passage_4703547': 0.07047089628021323, 'passage_428250': 0.06978699172425687, 'passage_2173888': 0.06889671727340925, 'passage_4703543': 0.06735912956659831, 'passage_3163396': 0.06215849391221818, 'passage_16521': 0.059308711336764464, 'passage_5055630': 0.05781873153294787, 'passage_428244': 0.05676342545504778, 'passage_4175409': 0.05544781720340205, 'passage_6610801': 0.053960662257672855, 'passage_2173887': 0.05374168793680332, 'passage_3163390': 0.05300072016841456}
